id,First_Name,Last_Name,email,Major,Minor,GPA,College_ID,Grad_Year,Cycle,Advisor_ID
1,Creigh,Trowel,ctrowel0@alexa.com,27,,1,30,2024,Fall,7
2,Gweneth,Crame,gcrame1@list-manage.com,18,18,3,15,2022,Spring,38
3,Saxe,Levay,slevay2@nps.gov,21,11,4,27,2021,Fall,1
4,Vernice,Hauxby,vhauxby3@mysql.com,10,25,1,9,2023,Spring,25
5,Kelsey,Smead,ksmead4@sciencedirect.com,25,,4,29,2028,Fall,24
6,Vyky,Romain,vromain5@wordpress.com,3,,2,29,2022,Spring,16
7,Saidee,Perroni,sperroni6@xrea.com,11,10,2,35,2024,Spring,35
8,Ruthie,McDuall,rmcduall7@lulu.com,26,,2,14,2028,Fall,3
9,Ashbey,McConaghy,amcconaghy8@wix.com,37,36,2,37,2026,Spring,9
10,Rois,Ashborn,rashborn9@nps.gov,33,,4,29,2028,Fall,5
11,Bartholomeo,Matuszyk,bmatuszyka@i2i.jp,11,,2,34,2024,Fall,33
12,Ingemar,Zuanazzi,izuanazzib@devhub.com,39,,3,31,2022,Fall,23
13,Eve,Shall,eshallc@mozilla.com,24,,2,32,2024,Spring,8
14,Mariska,Wittman,mwittmand@mozilla.org,4,31,1,25,2024,Fall,7
15,Lanny,Nockells,lnockellse@businessinsider.com,28,13,2,29,2025,Fall,15
16,Etan,Piller,epillerf@webs.com,15,25,1,4,2024,Spring,6
17,Jordon,Lorenzin,jlorenzing@skyrock.com,9,7,3,3,2026,Fall,9
18,Viviyan,Sackett,vsacketth@bigcartel.com,3,35,1,2,2028,Spring,28
19,Kellia,Morilla,kmorillai@cbslocal.com,15,22,2,33,2022,Spring,23
20,Thane,Keese,tkeesej@nymag.com,16,20,1,17,2022,Fall,14
21,Zeb,Esterbrook,zesterbrookk@webeden.co.uk,17,,4,39,2028,Spring,32
22,Myrwyn,Quinn,mquinnl@typepad.com,4,38,1,28,2022,Spring,6
23,Freeman,Borleace,fborleacem@samsung.com,15,,1,22,2026,Fall,9
24,Glenna,McVittie,gmcvittien@miitbeian.gov.cn,18,,1,34,2022,Fall,9
25,Nevins,Rumsby,nrumsbyo@squidoo.com,11,39,1,6,2026,Fall,27
26,Mikol,O' Donohue,modonohuep@angelfire.com,33,9,2,35,2025,Spring,1
27,Kiah,Sunter,ksunterq@webnode.com,32,6,1,1,2023,Spring,21
28,Cati,Neeve,cneever@boston.com,40,39,3,9,2022,Fall,6
29,Lucian,Stovine,lstovines@spotify.com,20,3,3,29,2025,Spring,20
30,Lexy,Grix,lgrixt@japanpost.jp,19,39,1,23,2022,Fall,5
31,Luci,Whymark,lwhymarku@ucsd.edu,39,28,2,24,2025,Fall,26
32,Lucie,Maskill,lmaskillv@wordpress.com,30,12,1,21,2027,Spring,37
33,Fanni,Marquot,fmarquotw@gravatar.com,7,,4,3,2026,Spring,16
34,Dedie,Edling,dedlingx@cocolog-nifty.com,13,,1,39,2022,Spring,35
35,Madelin,Hovy,mhovyy@abc.net.au,4,,2,12,2026,Spring,27
36,Moishe,Bent,mbentz@senate.gov,27,,3,4,2025,Spring,14
37,Gina,Osgardby,gosgardby10@edublogs.org,3,,1,33,2024,Fall,24
38,Odo,Cubbin,ocubbin11@cmu.edu,19,4,3,35,2024,Spring,1
39,Sonny,Gorry,sgorry12@youtu.be,26,6,3,29,2027,Spring,9
40,Neall,Cudd,ncudd13@devhub.com,2,,4,7,2026,Fall,19
